,County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",State,Arson
26,Richland,57.0,3.0,24.0,7.0,23.0,1164.0,447.0,694.0,23.0,ohio,5.0
27,Stark,89.0,1.0,22.0,17.0,49.0,1659.0,379.0,1146.0,134.0,ohio,10.0
28,Summit,63.0,1.0,22.0,13.0,27.0,1050.0,214.0,791.0,45.0,ohio,7.0
29,Trumbull,19.0,1.0,4.0,3.0,11.0,332.0,130.0,174.0,28.0,ohio,2.0
30,Union,17.0,0.0,7.0,1.0,9.0,173.0,48.0,113.0,12.0,ohio,1.0
31,Warren,58.0,0.0,11.0,13.0,34.0,912.0,150.0,703.0,59.0,ohio,2.0
32,Wood,13.0,0.0,7.0,1.0,5.0,358.0,85.0,251.0,22.0,ohio,4.0
33,Adams,6.0,0.0,3.0,0.0,3.0,157.0,57.0,83.0,17.0,ohio,1.0
34,Ashland,31.0,1.0,15.0,4.0,11.0,190.0,63.0,116.0,11.0,ohio,0.0
35,Ashtabula,54.0,1.0,10.0,14.0,29.0,640.0,172.0,438.0,30.0,ohio,4.0
36,Athens,19.0,0.0,5.0,3.0,11.0,458.0,145.0,284.0,29.0,ohio,1.0
37,Champaign,17.0,1.0,4.0,0.0,12.0,330.0,108.0,191.0,31.0,ohio,3.0
38,Clinton,2.0,0.0,0.0,0.0,2.0,28.0,9.0,19.0,0.0,ohio,0.0
39,Columbiana,19.0,1.0,9.0,0.0,9.0,5.0,3.0,2.0,0.0,ohio,0.0
40,Coshocton,39.0,0.0,9.0,5.0,25.0,514.0,184.0,307.0,23.0,ohio,7.0
41,Crawford,6.0,0.0,5.0,0.0,1.0,138.0,61.0,70.0,7.0,ohio,0.0
42,Defiance,22.0,1.0,13.0,3.0,5.0,141.0,38.0,102.0,1.0,ohio,0.0
43,Erie,3.0,0.0,0.0,1.0,2.0,378.0,84.0,289.0,5.0,ohio,0.0
44,Fayette,24.0,2.0,10.0,5.0,7.0,513.0,157.0,346.0,10.0,ohio,2.0
45,Gallia,21.0,1.0,4.0,2.0,14.0,302.0,98.0,188.0,16.0,ohio,1.0
46,Hancock,12.0,1.0,3.0,2.0,6.0,227.0,80.0,142.0,5.0,ohio,0.0
47,Hardin,8.0,0.0,2.0,1.0,5.0,147.0,43.0,97.0,7.0,ohio,2.0
48,Harrison,6.0,0.0,1.0,2.0,3.0,94.0,34.0,56.0,4.0,ohio,1.0
49,Henry,20.0,2.0,1.0,1.0,16.0,164.0,43.0,120.0,1.0,ohio,0.0
50,Highland,26.0,4.0,6.0,1.0,15.0,385.0,130.0,237.0,18.0,ohio,7.0
51,Holmes,5.0,1.0,4.0,0.0,0.0,204.0,50.0,139.0,15.0,ohio,1.0
52,Jackson,26.0,1.0,12.0,7.0,6.0,234.0,73.0,148.0,13.0,ohio,4.0
53,Knox,33.0,0.0,18.0,0.0,15.0,487.0,99.0,388.0,0.0,ohio,2.0
54,Logan,14.0,1.0,3.0,0.0,10.0,368.0,148.0,210.0,10.0,ohio,2.0
55,Marion,38.0,0.0,19.0,12.0,7.0,1175.0,166.0,1001.0,8.0,ohio,4.0
56,Meigs,36.0,2.0,4.0,6.0,24.0,232.0,71.0,146.0,15.0,ohio,5.0
57,Mercer,11.0,0.0,3.0,1.0,7.0,138.0,18.0,111.0,9.0,ohio,1.0
58,Monroe,11.0,0.0,5.0,0.0,6.0,56.0,19.0,31.0,6.0,ohio,1.0
59,Morgan,24.0,0.0,5.0,1.0,18.0,172.0,57.0,101.0,14.0,ohio,3.0
60,Muskingum,48.0,0.0,27.0,9.0,12.0,1029.0,310.0,653.0,66.0,ohio,5.0
61,Noble,0.0,0.0,0.0,0.0,0.0,88.0,24.0,59.0,5.0,ohio,1.0
62,Ottawa,8.0,0.0,,2.0,1.0,231.0,50.0,178.0,3.0,ohio,0.0
63,Paulding,14.0,1.0,7.0,1.0,5.0,138.0,39.0,99.0,0.0,ohio,0.0
64,Pike,22.0,1.0,7.0,2.0,12.0,335.0,100.0,202.0,33.0,ohio,0.0
65,Preble,14.0,2.0,6.0,3.0,3.0,307.0,125.0,169.0,13.0,ohio,0.0
66,Putnam,13.0,1.0,8.0,0.0,4.0,91.0,21.0,68.0,2.0,ohio,0.0
67,Ross,120.0,1.0,31.0,12.0,76.0,1316.0,405.0,844.0,67.0,ohio,11.0
68,Sandusky,54.0,0.0,,1.0,53.0,211.0,41.0,166.0,4.0,ohio,0.0
69,Scioto,40.0,0.0,13.0,11.0,16.0,1026.0,344.0,620.0,62.0,ohio,9.0
70,Seneca,70.0,0.0,,64.0,2.0,319.0,91.0,228.0,0.0,ohio,0.0
71,Shelby,15.0,0.0,2.0,1.0,12.0,245.0,59.0,177.0,9.0,ohio,2.0
72,Tuscarawas,10.0,0.0,4.0,1.0,5.0,346.0,107.0,215.0,24.0,ohio,2.0
73,Van Wert,9.0,1.0,7.0,0.0,1.0,138.0,46.0,88.0,4.0,ohio,1.0
74,Vinton,20.0,0.0,8.0,2.0,10.0,108.0,50.0,54.0,4.0,ohio,0.0
75,Washington,31.0,1.0,6.0,1.0,23.0,305.0,94.0,190.0,21.0,ohio,2.0
76,Wayne,32.0,0.0,12.0,2.0,18.0,497.0,202.0,270.0,25.0,ohio,0.0
77,Wyandot,2.0,0.0,0.0,0.0,2.0,17.0,8.0,9.0,0.0,ohio,0.0
78,,,,,,,,,,,ohio,0.0
0,Aransas,91.0,0.0,18.0,2.0,71.0,314.0,110.0,188.0,16.0,texas,0.0
1,Archer,11.0,0.0,1.0,1.0,9.0,43.0,9.0,28.0,6.0,texas,1.0
2,Armstrong,3.0,0.0,0.0,0.0,3.0,10.0,4.0,5.0,1.0,texas,0.0
3,Atascosa,65.0,1.0,2.0,8.0,54.0,510.0,177.0,280.0,53.0,texas,0.0
4,Austin,26.0,0.0,3.0,3.0,20.0,139.0,52.0,65.0,22.0,texas,0.0
5,Bandera,38.0,0.0,11.0,1.0,26.0,246.0,75.0,146.0,25.0,texas,1.0
6,Bastrop,225.0,5.0,45.0,24.0,151.0,822.0,268.0,472.0,82.0,texas,3.0
7,Bell,103.0,0.0,42.0,9.0,52.0,753.0,199.0,489.0,65.0,texas,27.0
8,Bexar,611.0,20.0,143.0,118.0,330.0,6784.0,1370.0,4898.0,516.0,texas,53.0
9,Bowie,104.0,1.0,27.0,2.0,74.0,489.0,177.0,265.0,47.0,texas,5.0
10,Brazoria,174.0,6.0,8.0,36.0,124.0,1079.0,270.0,679.0,130.0,texas,8.0
11,Brazos,80.0,1.0,10.0,2.0,67.0,320.0,90.0,206.0,24.0,texas,3.0
12,Burleson,25.0,0.0,6.0,3.0,16.0,139.0,64.0,67.0,8.0,texas,1.0
13,Caldwell,35.0,2.0,0.0,6.0,27.0,141.0,60.0,65.0,16.0,texas,2.0
14,Callahan,5.0,0.0,0.0,0.0,5.0,64.0,19.0,31.0,14.0,texas,2.0
15,Cameron,195.0,2.0,51.0,16.0,126.0,1068.0,321.0,705.0,42.0,texas,4.0
16,Carson,19.0,0.0,0.0,0.0,19.0,40.0,9.0,27.0,4.0,texas,1.0
17,Chambers,134.0,3.0,17.0,12.0,102.0,706.0,137.0,523.0,46.0,texas,5.0
18,Clay,14.0,3.0,3.0,0.0,8.0,100.0,24.0,63.0,13.0,texas,0.0
19,Collin,66.0,3.0,18.0,2.0,43.0,365.0,107.0,229.0,29.0,texas,1.0
20,Comal,146.0,1.0,37.0,8.0,100.0,688.0,201.0,432.0,55.0,texas,1.0
21,Coryell,9.0,0.0,0.0,1.0,8.0,98.0,41.0,52.0,5.0,texas,0.0
22,Crosby,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,texas,0.0
23,Dallas,45.0,1.0,13.0,3.0,28.0,303.0,78.0,187.0,38.0,texas,1.0
24,Denton,70.0,1.0,15.0,8.0,46.0,630.0,143.0,427.0,60.0,texas,3.0
25,Ector,135.0,3.0,24.0,35.0,73.0,1962.0,361.0,1354.0,247.0,texas,1.0
26,Ellis,72.0,3.0,13.0,6.0,50.0,458.0,132.0,284.0,42.0,texas,1.0
27,El Paso,267.0,6.0,50.0,25.0,186.0,847.0,231.0,556.0,60.0,texas,11.0
28,Falls,5.0,1.0,0.0,1.0,3.0,84.0,28.0,47.0,9.0,texas,0.0
29,Fort Bend,758.0,18.0,83.0,141.0,516.0,4419.0,1149.0,3006.0,264.0,texas,32.0
30,Galveston,141.0,1.0,23.0,22.0,95.0,1007.0,292.0,620.0,95.0,texas,16.0
31,Goliad,16.0,0.0,2.0,2.0,12.0,92.0,38.0,51.0,3.0,texas,1.0
32,Grayson,70.0,1.0,13.0,1.0,55.0,450.0,105.0,283.0,62.0,texas,0.0
33,Gregg,55.0,1.0,7.0,10.0,37.0,451.0,149.0,253.0,49.0,texas,2.0
34,Guadalupe,60.0,1.0,31.0,10.0,18.0,584.0,174.0,347.0,63.0,texas,4.0
35,Hardin,41.0,2.0,11.0,0.0,28.0,301.0,108.0,144.0,49.0,texas,3.0
36,Harris,8854.0,92.0,537.0,3044.0,5181.0,45228.0,9162.0,29962.0,6104.0,texas,292.0
37,Hays,157.0,1.0,28.0,22.0,106.0,882.0,262.0,545.0,75.0,texas,1.0
38,Hidalgo,586.0,10.0,133.0,130.0,313.0,4528.0,1417.0,2813.0,298.0,texas,29.0
39,Hood,85.0,0.0,11.0,7.0,67.0,389.0,121.0,240.0,28.0,texas,6.0
40,Hudspeth,4.0,0.0,0.0,0.0,4.0,12.0,0.0,11.0,1.0,texas,0.0
41,Hunt,104.0,2.0,9.0,9.0,84.0,660.0,259.0,300.0,101.0,texas,3.0
42,Irion,1.0,0.0,0.0,0.0,1.0,29.0,9.0,20.0,0.0,texas,0.0
43,Jefferson,70.0,1.0,11.0,9.0,49.0,366.0,95.0,231.0,40.0,texas,6.0
44,Johnson,129.0,2.0,25.0,5.0,97.0,740.0,220.0,433.0,87.0,texas,9.0
45,Kaufman,136.0,1.0,28.0,11.0,96.0,551.0,196.0,275.0,80.0,texas,0.0
46,Lampasas,1.0,0.0,0.0,0.0,1.0,120.0,33.0,83.0,4.0,texas,0.0
47,Liberty,166.0,2.0,36.0,4.0,124.0,685.0,256.0,348.0,81.0,texas,6.0
48,Lubbock,109.0,0.0,15.0,9.0,85.0,686.0,192.0,420.0,74.0,texas,1.0
49,Lynn,2.0,2.0,0.0,0.0,0.0,25.0,20.0,3.0,2.0,texas,0.0
50,Martin,2.0,0.0,0.0,0.0,2.0,67.0,32.0,33.0,2.0,texas,0.0
51,McLennan,96.0,1.0,25.0,5.0,65.0,503.0,183.0,265.0,55.0,texas,6.0
52,Medina,48.0,2.0,20.0,1.0,25.0,372.0,121.0,219.0,32.0,texas,0.0
53,Midland,61.0,0.0,1.0,6.0,54.0,727.0,125.0,511.0,91.0,texas,0.0
54,Montgomery,531.0,10.0,52.0,90.0,379.0,4982.0,1011.0,3480.0,491.0,texas,15.0
55,Nueces,65.0,2.0,9.0,2.0,52.0,216.0,92.0,118.0,6.0,texas,1.0
56,Oldham,3.0,0.0,0.0,0.0,3.0,8.0,5.0,3.0,0.0,texas,0.0
57,Orange,90.0,0.0,10.0,7.0,73.0,645.0,196.0,361.0,88.0,texas,9.0
58,Parker,110.0,1.0,23.0,3.0,83.0,747.0,258.0,428.0,61.0,texas,4.0
59,Potter,42.0,3.0,3.0,7.0,29.0,235.0,65.0,134.0,36.0,texas,1.0
60,Randall,43.0,0.0,14.0,1.0,28.0,339.0,94.0,193.0,52.0,texas,2.0
61,Robertson,7.0,0.0,5.0,0.0,2.0,95.0,34.0,57.0,4.0,texas,0.0
62,Rockwall,21.0,0.0,5.0,3.0,13.0,70.0,19.0,40.0,11.0,texas,0.0
63,Rusk,92.0,2.0,11.0,1.0,78.0,565.0,196.0,310.0,59.0,texas,1.0
64,San Patricio,31.0,2.0,0.0,0.0,29.0,303.0,108.0,169.0,26.0,texas,0.0
65,Smith,226.0,2.0,3.0,41.0,180.0,2259.0,750.0,1252.0,257.0,texas,17.0
66,Somervell,13.0,0.0,0.0,1.0,12.0,70.0,33.0,32.0,5.0,texas,0.0
67,Tarrant,113.0,3.0,40.0,14.0,56.0,823.0,249.0,481.0,93.0,texas,22.0
68,Taylor,27.0,0.0,6.0,0.0,21.0,155.0,74.0,72.0,9.0,texas,0.0
69,Tom Green,29.0,0.0,18.0,4.0,7.0,403.0,190.0,183.0,30.0,texas,4.0
70,Travis,684.0,10.0,53.0,64.0,557.0,3339.0,856.0,2234.0,249.0,texas,32.0
71,Upshur,49.0,0.0,3.0,4.0,42.0,358.0,162.0,161.0,35.0,texas,0.0
72,Victoria,112.0,0.0,34.0,6.0,72.0,501.0,173.0,289.0,39.0,texas,2.0
73,Waller,46.0,1.0,22.0,1.0,22.0,341.0,114.0,205.0,22.0,texas,0.0
74,Webb,35.0,0.0,0.0,3.0,32.0,226.0,84.0,138.0,4.0,texas,1.0
75,Wichita,7.0,0.0,0.0,0.0,7.0,91.0,38.0,31.0,22.0,texas,0.0
76,Williamson,175.0,1.0,44.0,15.0,115.0,1366.0,308.0,956.0,102.0,texas,6.0
77,Wilson,29.0,1.0,1.0,1.0,26.0,220.0,79.0,111.0,30.0,texas,2.0
78,Wise,74.0,1.0,10.0,2.0,61.0,273.0,88.0,147.0,38.0,texas,8.0
79,Anderson,55.0,0.0,6.0,7.0,42.0,330.0,133.0,157.0,40.0,texas,0.0
80,Andrews,14.0,1.0,6.0,0.0,7.0,116.0,31.0,67.0,18.0,texas,0.0
81,Angelina,88.0,0.0,23.0,2.0,63.0,539.0,189.0,301.0,49.0,texas,1.0
82,Bailey,10.0,0.0,0.0,0.0,10.0,41.0,18.0,21.0,2.0,texas,0.0
83,Baylor,0.0,0.0,0.0,0.0,0.0,20.0,12.0,7.0,1.0,texas,0.0
84,Bee,25.0,0.0,0.0,1.0,24.0,127.0,42.0,78.0,7.0,texas,2.0
85,Blanco,11.0,0.0,4.0,0.0,7.0,49.0,13.0,28.0,8.0,texas,0.0
86,Borden,4.0,0.0,0.0,0.0,4.0,7.0,3.0,3.0,1.0,texas,0.0
87,Bosque3,4.0,0.0,0.0,0.0,4.0,,,42.0,2.0,texas,0.0
88,Brewster,6.0,0.0,2.0,0.0,4.0,35.0,15.0,19.0,1.0,texas,0.0
89,Briscoe,0.0,0.0,0.0,0.0,0.0,13.0,5.0,7.0,1.0,texas,1.0
90,Brooks,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,texas,0.0
91,Brown,22.0,3.0,0.0,0.0,19.0,144.0,54.0,85.0,5.0,texas,4.0
92,Burnet,51.0,0.0,21.0,1.0,29.0,276.0,87.0,158.0,31.0,texas,0.0
93,Calhoun,16.0,0.0,2.0,0.0,14.0,156.0,47.0,102.0,7.0,texas,0.0
94,Camp,6.0,1.0,1.0,2.0,2.0,99.0,31.0,55.0,13.0,texas,0.0
95,Cass,44.0,0.0,10.0,1.0,33.0,326.0,152.0,146.0,28.0,texas,1.0
96,Castro,1.0,0.0,0.0,0.0,1.0,52.0,22.0,26.0,4.0,texas,0.0
97,Cherokee,72.0,3.0,16.0,2.0,51.0,534.0,201.0,284.0,49.0,texas,1.0
98,Childress,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,1.0,texas,0.0
99,Cochran,7.0,0.0,4.0,0.0,3.0,76.0,20.0,50.0,6.0,texas,0.0
100,Coke,1.0,0.0,0.0,0.0,1.0,29.0,14.0,12.0,3.0,texas,0.0
101,Collingsworth,9.0,0.0,0.0,0.0,9.0,12.0,6.0,5.0,1.0,texas,0.0
102,Colorado,33.0,0.0,3.0,2.0,28.0,140.0,44.0,73.0,23.0,texas,0.0
103,Comanche,6.0,0.0,0.0,0.0,6.0,88.0,24.0,62.0,2.0,texas,0.0
104,Concho,1.0,0.0,0.0,0.0,1.0,14.0,8.0,4.0,2.0,texas,0.0
105,Cooke,33.0,0.0,5.0,2.0,26.0,149.0,64.0,72.0,13.0,texas,2.0
106,Cottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,texas,0.0
107,Crane,2.0,0.0,0.0,0.0,2.0,26.0,9.0,16.0,1.0,texas,0.0
108,Crockett,3.0,0.0,0.0,0.0,3.0,37.0,14.0,20.0,3.0,texas,0.0
109,Culberson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,texas,0.0
110,Dallam,0.0,0.0,0.0,0.0,0.0,8.0,5.0,2.0,1.0,texas,0.0
111,Dawson,2.0,0.0,1.0,0.0,1.0,45.0,18.0,21.0,6.0,texas,0.0
112,Deaf Smith,4.0,0.0,1.0,0.0,3.0,73.0,27.0,41.0,5.0,texas,1.0
113,Delta,0.0,0.0,0.0,0.0,0.0,28.0,18.0,9.0,1.0,texas,4.0
114,DeWitt,25.0,0.0,6.0,1.0,18.0,123.0,49.0,66.0,8.0,texas,0.0
115,Dickens,1.0,0.0,0.0,0.0,1.0,12.0,6.0,6.0,0.0,texas,0.0
116,Dimmit,3.0,0.0,1.0,0.0,2.0,182.0,39.0,135.0,8.0,texas,2.0
117,Donley,3.0,0.0,1.0,1.0,1.0,45.0,8.0,31.0,6.0,texas,1.0
118,Duval,41.0,1.0,0.0,1.0,39.0,143.0,55.0,67.0,21.0,texas,4.0
119,Eastland,3.0,0.0,3.0,0.0,0.0,57.0,31.0,26.0,0.0,texas,0.0
120,Edwards,4.0,0.0,0.0,0.0,4.0,18.0,4.0,11.0,3.0,texas,0.0
121,Erath,21.0,0.0,9.0,0.0,12.0,105.0,42.0,59.0,4.0,texas,1.0
122,Fannin,25.0,0.0,4.0,2.0,19.0,112.0,43.0,52.0,17.0,texas,3.0
123,Fayette,11.0,1.0,2.0,2.0,6.0,137.0,54.0,74.0,9.0,texas,4.0
124,Fisher,13.0,0.0,0.0,0.0,13.0,53.0,19.0,29.0,5.0,texas,1.0
125,Floyd,10.0,0.0,3.0,0.0,7.0,42.0,16.0,23.0,3.0,texas,0.0
126,Foard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,texas,0.0
127,Franklin,27.0,1.0,9.0,0.0,17.0,92.0,46.0,40.0,6.0,texas,0.0
128,Freestone,9.0,0.0,0.0,0.0,9.0,113.0,52.0,57.0,4.0,texas,0.0
129,Frio,6.0,0.0,0.0,2.0,4.0,66.0,25.0,36.0,5.0,texas,0.0
130,Gaines,11.0,0.0,4.0,1.0,6.0,68.0,27.0,34.0,7.0,texas,1.0
131,Garza,10.0,0.0,4.0,1.0,5.0,53.0,13.0,37.0,3.0,texas,0.0
132,Gillespie,4.0,0.0,0.0,0.0,4.0,75.0,25.0,42.0,8.0,texas,0.0
133,Glasscock,0.0,0.0,0.0,0.0,0.0,17.0,7.0,8.0,2.0,texas,0.0
134,Gonzales,19.0,0.0,5.0,1.0,13.0,107.0,33.0,67.0,7.0,texas,0.0
135,Gray,16.0,0.0,2.0,4.0,10.0,114.0,38.0,67.0,9.0,texas,0.0
136,Grimes,23.0,4.0,0.0,4.0,15.0,246.0,89.0,141.0,16.0,texas,3.0
137,Hale,18.0,0.0,0.0,0.0,18.0,91.0,37.0,53.0,1.0,texas,0.0
138,Hall,2.0,0.0,0.0,1.0,1.0,8.0,5.0,3.0,0.0,texas,0.0
139,Hansford,8.0,0.0,0.0,0.0,8.0,11.0,0.0,11.0,0.0,texas,0.0
140,Hardeman,2.0,0.0,0.0,0.0,2.0,39.0,12.0,22.0,5.0,texas,1.0
141,Harrison,53.0,0.0,19.0,2.0,32.0,269.0,115.0,141.0,13.0,texas,0.0
142,Hartley,1.0,0.0,0.0,0.0,1.0,29.0,12.0,13.0,4.0,texas,0.0
143,Haskell,1.0,0.0,0.0,0.0,1.0,38.0,12.0,16.0,10.0,texas,0.0
144,Hemphill,12.0,0.0,2.0,1.0,9.0,37.0,7.0,25.0,5.0,texas,1.0
145,Henderson,206.0,2.0,52.0,4.0,148.0,1062.0,424.0,543.0,95.0,texas,0.0
146,Hill,38.0,0.0,5.0,5.0,28.0,268.0,124.0,140.0,4.0,texas,0.0
147,Hockley,25.0,0.0,0.0,1.0,24.0,93.0,34.0,54.0,5.0,texas,0.0
148,Hopkins,22.0,0.0,4.0,0.0,18.0,87.0,35.0,45.0,7.0,texas,6.0
149,Houston,9.0,1.0,1.0,0.0,7.0,144.0,70.0,64.0,10.0,texas,0.0
150,Howard,25.0,0.0,4.0,1.0,20.0,237.0,66.0,157.0,14.0,texas,6.0
151,Hutchinson,21.0,0.0,4.0,0.0,17.0,86.0,35.0,41.0,10.0,texas,4.0
152,Jack,11.0,0.0,1.0,0.0,10.0,41.0,17.0,19.0,5.0,texas,1.0
153,Jackson,18.0,0.0,4.0,1.0,13.0,56.0,20.0,29.0,7.0,texas,0.0
154,Jasper,80.0,0.0,27.0,3.0,50.0,296.0,135.0,123.0,38.0,texas,3.0
155,Jeff Davis,2.0,0.0,1.0,0.0,1.0,8.0,8.0,0.0,0.0,texas,1.0
156,Jim Hogg,2.0,0.0,0.0,0.0,2.0,9.0,4.0,5.0,0.0,texas,0.0
157,Karnes,13.0,0.0,1.0,3.0,9.0,80.0,17.0,57.0,6.0,texas,0.0
158,Kenedy,6.0,0.0,3.0,0.0,3.0,7.0,3.0,2.0,2.0,texas,0.0
159,Kent,3.0,0.0,0.0,0.0,3.0,10.0,5.0,5.0,0.0,texas,0.0
160,Kerr,47.0,6.0,19.0,1.0,21.0,305.0,82.0,206.0,17.0,texas,2.0
161,Kimble,1.0,0.0,0.0,0.0,1.0,14.0,9.0,3.0,2.0,texas,0.0
162,King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,texas,0.0
163,Kinney,1.0,0.0,0.0,0.0,1.0,11.0,10.0,0.0,1.0,texas,0.0
164,Kleberg,26.0,0.0,7.0,1.0,18.0,85.0,17.0,59.0,9.0,texas,0.0
165,Knox,4.0,0.0,3.0,1.0,0.0,20.0,8.0,11.0,1.0,texas,0.0
166,Lamar,29.0,0.0,10.0,3.0,16.0,238.0,69.0,159.0,10.0,texas,2.0
167,Lamb,2.0,0.0,0.0,1.0,1.0,73.0,25.0,41.0,7.0,texas,7.0
168,La Salle,7.0,0.0,1.0,0.0,6.0,55.0,5.0,49.0,1.0,texas,0.0
169,Lavaca3,13.0,0.0,2.0,0.0,11.0,,,30.0,4.0,texas,0.0
170,Lee,16.0,0.0,4.0,3.0,9.0,104.0,38.0,62.0,4.0,texas,1.0
171,Leon,24.0,0.0,2.0,0.0,22.0,211.0,79.0,120.0,12.0,texas,0.0
172,Limestone,19.0,0.0,2.0,2.0,15.0,156.0,47.0,99.0,10.0,texas,2.0
173,Lipscomb,4.0,0.0,0.0,0.0,4.0,12.0,2.0,10.0,0.0,texas,0.0
174,Live Oak,15.0,2.0,1.0,1.0,11.0,147.0,59.0,75.0,13.0,texas,0.0
175,Llano,11.0,1.0,2.0,0.0,8.0,132.0,50.0,80.0,2.0,texas,0.0
176,Loving,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,1.0,texas,0.0
177,Madison,9.0,0.0,4.0,3.0,2.0,102.0,52.0,48.0,2.0,texas,0.0
178,Mason,2.0,0.0,0.0,0.0,2.0,43.0,19.0,20.0,4.0,texas,0.0
179,Matagorda,65.0,1.0,9.0,6.0,49.0,336.0,126.0,192.0,18.0,texas,1.0
180,Maverick,62.0,0.0,9.0,0.0,53.0,482.0,127.0,322.0,33.0,texas,0.0
181,McCulloch,2.0,1.0,0.0,0.0,1.0,6.0,1.0,5.0,0.0,texas,0.0
182,McMullen,1.0,0.0,0.0,0.0,1.0,26.0,12.0,14.0,0.0,texas,0.0
183,Menard,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,texas,0.0
184,Milam,11.0,0.0,0.0,0.0,11.0,96.0,32.0,58.0,6.0,texas,0.0
185,Mills,2.0,0.0,0.0,0.0,2.0,26.0,10.0,14.0,2.0,texas,1.0
186,Mitchell,1.0,0.0,0.0,0.0,1.0,13.0,8.0,5.0,0.0,texas,0.0
187,Montague,9.0,0.0,0.0,0.0,9.0,49.0,12.0,31.0,6.0,texas,0.0
188,Moore,10.0,0.0,0.0,0.0,10.0,69.0,24.0,40.0,5.0,texas,0.0
189,Morris,11.0,0.0,4.0,0.0,7.0,81.0,31.0,39.0,11.0,texas,0.0
190,Motley,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,1.0,texas,0.0
191,Nacogdoches,70.0,0.0,12.0,2.0,56.0,275.0,89.0,162.0,24.0,texas,2.0
192,Nolan,5.0,0.0,0.0,1.0,4.0,39.0,13.0,23.0,3.0,texas,0.0
193,Ochiltree,7.0,0.0,1.0,0.0,6.0,30.0,11.0,16.0,3.0,texas,0.0
194,Palo Pinto,2.0,0.0,0.0,1.0,1.0,95.0,55.0,33.0,7.0,texas,0.0
195,Panola,27.0,0.0,3.0,1.0,23.0,291.0,94.0,163.0,34.0,texas,0.0
196,Parmer,1.0,0.0,0.0,0.0,1.0,34.0,16.0,18.0,0.0,texas,0.0
197,Pecos,9.0,1.0,1.0,1.0,6.0,60.0,45.0,14.0,1.0,texas,1.0
198,Polk,66.0,1.0,29.0,8.0,28.0,523.0,185.0,296.0,42.0,texas,0.0
199,Presidio,3.0,0.0,0.0,0.0,3.0,28.0,13.0,9.0,6.0,texas,0.0
200,Rains,14.0,0.0,0.0,0.0,14.0,117.0,34.0,70.0,13.0,texas,0.0
201,Reagan,4.0,0.0,0.0,0.0,4.0,67.0,12.0,53.0,2.0,texas,1.0
202,Real,6.0,0.0,0.0,0.0,6.0,39.0,17.0,20.0,2.0,texas,0.0
203,Red River,8.0,0.0,2.0,0.0,6.0,87.0,41.0,44.0,2.0,texas,0.0
204,Reeves,5.0,1.0,1.0,0.0,3.0,107.0,15.0,88.0,4.0,texas,0.0
205,Refugio,8.0,0.0,1.0,0.0,7.0,44.0,8.0,28.0,8.0,texas,0.0
206,Roberts,0.0,0.0,0.0,0.0,0.0,8.0,1.0,6.0,1.0,texas,0.0
207,Runnels,3.0,0.0,0.0,0.0,3.0,33.0,9.0,23.0,1.0,texas,0.0
208,Sabine,29.0,0.0,4.0,0.0,25.0,150.0,63.0,73.0,14.0,texas,1.0
209,San Augustine,36.0,1.0,5.0,0.0,30.0,81.0,39.0,33.0,9.0,texas,0.0
210,San Jacinto,47.0,1.0,13.0,4.0,29.0,362.0,144.0,170.0,48.0,texas,0.0
211,San Saba,2.0,0.0,1.0,0.0,1.0,26.0,11.0,10.0,5.0,texas,0.0
212,Schleicher,0.0,0.0,0.0,0.0,0.0,54.0,13.0,40.0,1.0,texas,0.0
213,Scurry,11.0,0.0,1.0,1.0,9.0,67.0,30.0,34.0,3.0,texas,0.0
214,Shackelford,2.0,0.0,1.0,0.0,1.0,32.0,9.0,18.0,5.0,texas,0.0
215,Shelby,27.0,1.0,3.0,2.0,21.0,176.0,81.0,86.0,9.0,texas,0.0
216,Sherman,1.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,texas,0.0
217,Starr,115.0,4.0,20.0,9.0,82.0,298.0,100.0,155.0,43.0,texas,3.0
218,Stephens,4.0,0.0,2.0,0.0,2.0,30.0,15.0,13.0,2.0,texas,3.0
219,Sterling,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,texas,0.0
220,Stonewall,2.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,1.0,texas,0.0
221,Sutton,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,texas,0.0
222,Terrell,2.0,2.0,0.0,0.0,0.0,12.0,3.0,8.0,1.0,texas,0.0
223,Terry,4.0,0.0,0.0,0.0,4.0,49.0,13.0,34.0,2.0,texas,0.0
