,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,State,Rape
5,Guthrie,2.0,0.0,0.0,2.0,45.0,19.0,23.0,3.0,0.0,iowa,0.0
6,Harrison,7.0,0.0,0.0,7.0,43.0,12.0,25.0,6.0,2.0,iowa,0.0
7,Jasper,6.0,0.0,0.0,4.0,44.0,20.0,17.0,7.0,0.0,iowa,2.0
8,Johnson,65.0,0.0,1.0,56.0,196.0,60.0,116.0,20.0,4.0,iowa,8.0
9,Madison,2.0,0.0,0.0,2.0,26.0,14.0,11.0,1.0,0.0,iowa,0.0
10,Mills,17.0,0.0,0.0,16.0,98.0,28.0,53.0,17.0,2.0,iowa,1.0
11,Polk,112.0,0.0,9.0,89.0,822.0,211.0,486.0,125.0,4.0,iowa,14.0
12,Pottawattamie,57.0,1.0,3.0,46.0,251.0,54.0,173.0,24.0,4.0,iowa,7.0
13,Scott,40.0,2.0,0.0,32.0,170.0,53.0,100.0,17.0,0.0,iowa,6.0
14,Story,13.0,1.0,0.0,9.0,105.0,43.0,46.0,16.0,1.0,iowa,3.0
15,Warren,54.0,0.0,0.0,47.0,136.0,37.0,82.0,17.0,4.0,iowa,7.0
16,Washington,35.0,0.0,0.0,33.0,61.0,25.0,27.0,9.0,0.0,iowa,2.0
17,Woodbury,22.0,0.0,0.0,19.0,186.0,98.0,78.0,10.0,0.0,iowa,3.0
18,Adair,0.0,0.0,0.0,0.0,24.0,7.0,14.0,3.0,0.0,iowa,0.0
19,Adams,3.0,0.0,0.0,3.0,20.0,8.0,10.0,2.0,0.0,iowa,0.0
20,Allamakee,7.0,0.0,0.0,6.0,20.0,5.0,13.0,2.0,0.0,iowa,1.0
21,Appanoose,8.0,0.0,0.0,8.0,70.0,24.0,30.0,16.0,1.0,iowa,0.0
22,Buchanan,33.0,0.0,0.0,25.0,115.0,41.0,57.0,17.0,5.0,iowa,8.0
23,Buena Vista,12.0,0.0,0.0,11.0,41.0,29.0,10.0,2.0,0.0,iowa,1.0
24,Butler,7.0,0.0,0.0,3.0,25.0,15.0,6.0,4.0,1.0,iowa,4.0
25,Calhoun,8.0,0.0,0.0,8.0,31.0,12.0,14.0,5.0,1.0,iowa,0.0
26,Cass,10.0,1.0,0.0,7.0,38.0,6.0,25.0,7.0,0.0,iowa,2.0
27,Cedar,12.0,0.0,0.0,10.0,43.0,14.0,24.0,5.0,1.0,iowa,2.0
28,Cerro Gordo,10.0,0.0,0.0,8.0,98.0,26.0,53.0,19.0,0.0,iowa,2.0
29,Cherokee,2.0,0.0,0.0,1.0,12.0,7.0,5.0,0.0,0.0,iowa,1.0
30,Chickasaw,10.0,0.0,0.0,9.0,29.0,9.0,15.0,5.0,0.0,iowa,1.0
31,Clarke,7.0,0.0,0.0,5.0,36.0,11.0,16.0,9.0,1.0,iowa,2.0
32,Clay,13.0,0.0,0.0,12.0,11.0,7.0,3.0,1.0,0.0,iowa,1.0
33,Clayton,11.0,0.0,0.0,4.0,41.0,11.0,27.0,3.0,0.0,iowa,7.0
34,Clinton,17.0,0.0,1.0,10.0,92.0,25.0,61.0,6.0,0.0,iowa,6.0
35,Crawford,3.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,iowa,0.0
36,Davis,4.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,iowa,0.0
37,Delaware,4.0,0.0,0.0,1.0,46.0,7.0,30.0,9.0,2.0,iowa,3.0
38,Des Moines,14.0,0.0,0.0,13.0,118.0,70.0,46.0,2.0,0.0,iowa,1.0
39,Dickinson,5.0,0.0,0.0,5.0,29.0,12.0,13.0,4.0,0.0,iowa,0.0
40,Emmet,0.0,0.0,0.0,0.0,7.0,0.0,5.0,2.0,0.0,iowa,0.0
41,Franklin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,iowa,0.0
42,Fremont,11.0,0.0,1.0,8.0,43.0,16.0,22.0,5.0,1.0,iowa,2.0
43,Hamilton,6.0,0.0,0.0,6.0,54.0,28.0,19.0,7.0,0.0,iowa,0.0
44,Hancock,6.0,0.0,0.0,4.0,31.0,17.0,14.0,0.0,0.0,iowa,2.0
45,Hardin,11.0,0.0,0.0,7.0,83.0,36.0,38.0,9.0,0.0,iowa,4.0
46,Henry,20.0,0.0,0.0,20.0,69.0,20.0,46.0,3.0,2.0,iowa,0.0
47,Howard,0.0,0.0,0.0,0.0,35.0,20.0,12.0,3.0,0.0,iowa,0.0
48,Humboldt,0.0,0.0,0.0,0.0,41.0,11.0,28.0,2.0,1.0,iowa,0.0
49,Ida,10.0,0.0,0.0,8.0,68.0,17.0,44.0,7.0,0.0,iowa,2.0
50,Iowa,8.0,0.0,0.0,8.0,55.0,12.0,31.0,12.0,0.0,iowa,0.0
51,Jackson,3.0,0.0,0.0,3.0,23.0,6.0,12.0,5.0,0.0,iowa,0.0
52,Jefferson,2.0,0.0,0.0,1.0,26.0,11.0,12.0,3.0,0.0,iowa,1.0
53,Kossuth,6.0,3.0,0.0,0.0,32.0,22.0,8.0,2.0,0.0,iowa,3.0
54,Lee,15.0,0.0,0.0,13.0,108.0,42.0,49.0,17.0,0.0,iowa,2.0
55,Louisa,23.0,0.0,0.0,17.0,58.0,18.0,35.0,5.0,0.0,iowa,6.0
56,Lucas,12.0,0.0,2.0,8.0,68.0,29.0,34.0,5.0,0.0,iowa,2.0
57,Lyon,11.0,0.0,0.0,9.0,57.0,21.0,26.0,10.0,0.0,iowa,2.0
58,Mahaska,23.0,0.0,0.0,22.0,64.0,22.0,31.0,11.0,0.0,iowa,1.0
59,Marion,19.0,0.0,0.0,9.0,44.0,12.0,28.0,4.0,0.0,iowa,10.0
60,Marshall,42.0,0.0,0.0,39.0,94.0,31.0,49.0,14.0,3.0,iowa,3.0
61,Mitchell,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,iowa,0.0
62,Monona,16.0,0.0,0.0,15.0,37.0,15.0,15.0,7.0,0.0,iowa,1.0
63,Monroe,5.0,0.0,0.0,2.0,20.0,5.0,8.0,7.0,0.0,iowa,3.0
64,Muscatine,21.0,1.0,1.0,12.0,56.0,29.0,20.0,7.0,0.0,iowa,7.0
65,O'Brien,21.0,0.0,0.0,16.0,57.0,12.0,41.0,4.0,1.0,iowa,5.0
66,Osceola,14.0,0.0,0.0,13.0,73.0,14.0,57.0,2.0,0.0,iowa,1.0
67,Page,3.0,0.0,0.0,2.0,26.0,9.0,11.0,6.0,0.0,iowa,1.0
68,Palo Alto,15.0,0.0,0.0,13.0,48.0,23.0,21.0,4.0,0.0,iowa,2.0
69,Plymouth,13.0,0.0,0.0,10.0,45.0,15.0,23.0,7.0,0.0,iowa,3.0
70,Ringgold,4.0,0.0,0.0,4.0,21.0,4.0,16.0,1.0,0.0,iowa,0.0
71,Sac,6.0,0.0,0.0,5.0,32.0,10.0,20.0,2.0,1.0,iowa,1.0
72,Shelby,3.0,0.0,0.0,3.0,14.0,6.0,7.0,1.0,1.0,iowa,0.0
73,Sioux,7.0,0.0,0.0,4.0,50.0,12.0,35.0,3.0,0.0,iowa,3.0
74,Tama,23.0,0.0,0.0,22.0,57.0,22.0,23.0,12.0,0.0,iowa,1.0
75,Taylor,8.0,0.0,0.0,8.0,14.0,3.0,8.0,3.0,1.0,iowa,0.0
76,Union,4.0,0.0,0.0,4.0,46.0,14.0,28.0,4.0,0.0,iowa,0.0
77,Van Buren,4.0,0.0,0.0,4.0,58.0,24.0,31.0,3.0,0.0,iowa,0.0
78,Wapello,25.0,0.0,0.0,23.0,91.0,33.0,45.0,13.0,2.0,iowa,2.0
79,Wayne,8.0,0.0,0.0,8.0,28.0,13.0,12.0,3.0,1.0,iowa,0.0
80,Webster,27.0,0.0,0.0,23.0,113.0,41.0,59.0,13.0,2.0,iowa,4.0
81,Winneshiek,9.0,0.0,0.0,7.0,12.0,1.0,8.0,3.0,0.0,iowa,2.0
82,Worth,6.0,0.0,0.0,5.0,27.0,7.0,19.0,1.0,0.0,iowa,1.0
0,Franklin,6.0,0.0,0.0,5.0,26.0,7.0,18.0,1.0,0.0,vermont,1.0
1,Grand Isle,4.0,0.0,1.0,3.0,27.0,8.0,16.0,3.0,0.0,vermont,0.0
2,Bennington,2.0,0.0,0.0,1.0,6.0,1.0,4.0,1.0,0.0,vermont,1.0
3,Caledonia,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,vermont,0.0
4,Essex,0.0,0.0,0.0,0.0,18.0,7.0,10.0,1.0,0.0,vermont,0.0
5,Lamoille,9.0,0.0,0.0,7.0,59.0,3.0,56.0,0.0,0.0,vermont,2.0
6,Orange,6.0,0.0,0.0,0.0,18.0,3.0,15.0,0.0,0.0,vermont,6.0
7,Orleans,0.0,0.0,0.0,0.0,75.0,6.0,68.0,1.0,0.0,vermont,0.0
8,Rutland,2.0,0.0,0.0,2.0,13.0,2.0,11.0,0.0,0.0,vermont,0.0
9,Washington,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,vermont,0.0
10,Windham,2.0,0.0,0.0,2.0,23.0,5.0,18.0,0.0,0.0,vermont,0.0
0,Brown,83.0,1.0,3.0,51.0,623.0,36.0,557.0,30.0,2.0,wisconsin,28.0
1,Calumet,10.0,0.0,0.0,6.0,74.0,12.0,53.0,9.0,0.0,wisconsin,4.0
2,Chippewa,53.0,4.0,0.0,27.0,199.0,48.0,141.0,10.0,1.0,wisconsin,22.0
3,Columbia,34.0,1.0,0.0,25.0,201.0,47.0,136.0,18.0,2.0,wisconsin,8.0
4,Dane,98.0,0.0,5.0,73.0,684.0,181.0,453.0,50.0,2.0,wisconsin,20.0
5,Douglas,15.0,0.0,2.0,8.0,156.0,45.0,99.0,12.0,0.0,wisconsin,5.0
6,Eau Claire,29.0,0.0,0.0,13.0,192.0,65.0,108.0,19.0,1.0,wisconsin,16.0
7,Fond du Lac,26.0,0.0,1.0,16.0,204.0,102.0,92.0,10.0,0.0,wisconsin,9.0
8,Green2,7.0,0.0,0.0,4.0,56.0,8.0,45.0,3.0,0.0,wisconsin,3.0
9,Iowa,8.0,0.0,0.0,7.0,43.0,11.0,31.0,1.0,0.0,wisconsin,1.0
10,Kenosha,50.0,0.0,7.0,31.0,253.0,26.0,216.0,11.0,6.0,wisconsin,12.0
11,Kewaunee,13.0,0.0,0.0,10.0,42.0,7.0,34.0,1.0,0.0,wisconsin,3.0
12,La Crosse,15.0,0.0,0.0,13.0,126.0,39.0,78.0,9.0,0.0,wisconsin,2.0
13,Lincoln,38.0,0.0,0.0,34.0,56.0,17.0,36.0,3.0,1.0,wisconsin,4.0
14,Marathon2,41.0,0.0,4.0,29.0,319.0,45.0,264.0,10.0,0.0,wisconsin,8.0
15,Milwaukee,107.0,2.0,5.0,93.0,92.0,0.0,68.0,24.0,1.0,wisconsin,7.0
16,Oconto,19.0,0.0,1.0,14.0,212.0,80.0,124.0,8.0,0.0,wisconsin,4.0
17,Outagamie,37.0,0.0,0.0,29.0,265.0,82.0,165.0,18.0,3.0,wisconsin,8.0
18,Ozaukee,13.0,0.0,0.0,5.0,76.0,18.0,51.0,7.0,0.0,wisconsin,8.0
19,Pierce,4.0,0.0,0.0,4.0,99.0,29.0,67.0,3.0,2.0,wisconsin,0.0
20,Rock,56.0,0.0,4.0,36.0,244.0,57.0,163.0,24.0,1.0,wisconsin,16.0
21,Sheboygan,27.0,0.0,1.0,22.0,271.0,22.0,233.0,16.0,1.0,wisconsin,4.0
22,St. Croix,22.0,0.0,1.0,20.0,278.0,82.0,182.0,14.0,1.0,wisconsin,1.0
23,Washington,7.0,0.0,1.0,1.0,192.0,37.0,148.0,7.0,0.0,wisconsin,5.0
24,Waukesha,58.0,0.0,0.0,57.0,305.0,37.0,250.0,18.0,0.0,wisconsin,1.0
25,Winnebago,18.0,0.0,1.0,14.0,155.0,45.0,97.0,13.0,0.0,wisconsin,3.0
26,Adams,21.0,0.0,0.0,21.0,255.0,109.0,134.0,12.0,2.0,wisconsin,0.0
27,Ashland,22.0,0.0,0.0,19.0,41.0,11.0,29.0,1.0,0.0,wisconsin,3.0
28,Barron,20.0,1.0,0.0,6.0,127.0,35.0,83.0,9.0,2.0,wisconsin,13.0
29,Bayfield,19.0,0.0,0.0,16.0,80.0,33.0,40.0,7.0,0.0,wisconsin,3.0
30,Buffalo,4.0,0.0,0.0,3.0,6.0,1.0,3.0,2.0,0.0,wisconsin,1.0
31,Burnett,20.0,0.0,0.0,16.0,237.0,78.0,144.0,15.0,3.0,wisconsin,4.0
32,Clark,14.0,0.0,0.0,13.0,97.0,25.0,57.0,15.0,3.0,wisconsin,1.0
33,Crawford,25.0,0.0,0.0,23.0,90.0,10.0,79.0,1.0,0.0,wisconsin,2.0
34,Dodge,39.0,0.0,3.0,22.0,149.0,16.0,123.0,10.0,0.0,wisconsin,14.0
35,Door,10.0,0.0,0.0,6.0,57.0,10.0,44.0,3.0,0.0,wisconsin,4.0
36,Dunn,47.0,0.0,1.0,40.0,82.0,17.0,51.0,14.0,0.0,wisconsin,6.0
37,Florence2,11.0,0.0,0.0,10.0,16.0,0.0,15.0,1.0,0.0,wisconsin,1.0
38,Forest,8.0,0.0,0.0,6.0,52.0,9.0,37.0,6.0,2.0,wisconsin,2.0
39,Grant,38.0,1.0,0.0,27.0,133.0,34.0,84.0,15.0,1.0,wisconsin,10.0
40,Green Lake,4.0,0.0,0.0,2.0,49.0,4.0,41.0,4.0,0.0,wisconsin,2.0
41,Iron,7.0,0.0,0.0,7.0,42.0,1.0,38.0,3.0,0.0,wisconsin,0.0
42,Jackson,11.0,0.0,2.0,8.0,131.0,35.0,78.0,18.0,0.0,wisconsin,1.0
43,Jefferson,35.0,0.0,2.0,32.0,231.0,58.0,162.0,11.0,0.0,wisconsin,1.0
44,Juneau,50.0,1.0,0.0,39.0,141.0,49.0,83.0,9.0,0.0,wisconsin,10.0
45,Manitowoc,32.0,0.0,0.0,31.0,131.0,35.0,91.0,5.0,0.0,wisconsin,1.0
46,Marinette,10.0,1.0,2.0,3.0,198.0,81.0,105.0,12.0,1.0,wisconsin,4.0
47,Marquette,9.0,1.0,1.0,6.0,69.0,10.0,57.0,2.0,1.0,wisconsin,1.0
48,Monroe,30.0,0.0,0.0,30.0,101.0,26.0,59.0,16.0,1.0,wisconsin,0.0
49,Oneida,28.0,0.0,0.0,21.0,150.0,37.0,107.0,6.0,1.0,wisconsin,7.0
50,Pepin,6.0,0.0,0.0,2.0,30.0,7.0,23.0,0.0,0.0,wisconsin,4.0
51,Polk,35.0,0.0,2.0,18.0,167.0,34.0,110.0,23.0,0.0,wisconsin,15.0
52,Portage,40.0,0.0,0.0,30.0,138.0,56.0,75.0,7.0,1.0,wisconsin,10.0
53,Price,4.0,0.0,0.0,4.0,73.0,33.0,38.0,2.0,0.0,wisconsin,0.0
54,Rusk,13.0,0.0,1.0,8.0,44.0,14.0,27.0,3.0,0.0,wisconsin,4.0
55,Sauk,27.0,2.0,4.0,8.0,304.0,103.0,181.0,20.0,0.0,wisconsin,13.0
56,Sawyer,38.0,0.0,0.0,31.0,105.0,21.0,79.0,5.0,0.0,wisconsin,7.0
57,Taylor,21.0,0.0,0.0,16.0,56.0,7.0,48.0,1.0,0.0,wisconsin,5.0
58,Trempealeau,11.0,0.0,0.0,11.0,82.0,17.0,60.0,5.0,0.0,wisconsin,0.0
59,Vernon,3.0,1.0,0.0,2.0,77.0,12.0,58.0,7.0,0.0,wisconsin,0.0
60,Vilas,4.0,0.0,0.0,4.0,101.0,20.0,76.0,5.0,0.0,wisconsin,0.0
61,Walworth,10.0,0.0,2.0,5.0,152.0,65.0,79.0,8.0,1.0,wisconsin,3.0
62,Washburn,19.0,0.0,0.0,13.0,123.0,51.0,63.0,9.0,0.0,wisconsin,6.0
63,Waupaca,52.0,0.0,0.0,44.0,298.0,58.0,221.0,19.0,0.0,wisconsin,8.0
64,Waushara,36.0,1.0,1.0,31.0,158.0,42.0,102.0,14.0,1.0,wisconsin,3.0
65,Wood,18.0,1.0,0.0,3.0,123.0,27.0,85.0,11.0,1.0,wisconsin,14.0
0,Asotin,15.0,1.0,0.0,10.0,126.0,28.0,91.0,7.0,0.0,washington,4.0
1,Benton,73.0,2.0,5.0,60.0,386.0,81.0,259.0,46.0,5.0,washington,6.0
2,Chelan,43.0,0.0,0.0,40.0,322.0,90.0,219.0,13.0,0.0,washington,3.0
3,Clark,230.0,4.0,27.0,135.0,2189.0,402.0,1410.0,377.0,10.0,washington,64.0
4,Cowlitz,64.0,3.0,1.0,37.0,285.0,85.0,150.0,50.0,5.0,washington,23.0
5,Douglas,15.0,0.0,1.0,5.0,225.0,59.0,141.0,25.0,1.0,washington,9.0
6,Franklin,16.0,1.0,4.0,10.0,126.0,45.0,68.0,13.0,3.0,washington,1.0
7,King,607.0,5.0,176.0,362.0,3621.0,796.0,2132.0,693.0,77.0,washington,64.0
8,Kitsap,445.0,3.0,28.0,299.0,3036.0,590.0,2196.0,250.0,4.0,washington,115.0
9,Pierce,1152.0,9.0,183.0,816.0,6822.0,1718.0,4029.0,1075.0,48.0,washington,144.0
10,Skagit,74.0,0.0,13.0,50.0,757.0,222.0,474.0,61.0,1.0,washington,11.0
11,Skamania,12.0,1.0,0.0,8.0,132.0,32.0,88.0,12.0,2.0,washington,3.0
12,Snohomish,535.0,1.0,74.0,378.0,4328.0,917.0,2619.0,792.0,30.0,washington,82.0
13,Spokane,195.0,5.0,20.0,119.0,2666.0,555.0,1900.0,211.0,11.0,washington,51.0
14,Stevens,35.0,1.0,2.0,24.0,338.0,115.0,176.0,47.0,2.0,washington,8.0
15,Thurston,246.0,3.0,19.0,197.0,1546.0,545.0,808.0,193.0,11.0,washington,27.0
16,Walla Walla,20.0,1.0,1.0,14.0,266.0,88.0,152.0,26.0,2.0,washington,4.0
17,Yakima,153.0,8.0,17.0,97.0,1466.0,383.0,759.0,324.0,7.0,washington,31.0
18,Adams,18.0,0.0,0.0,14.0,93.0,36.0,45.0,12.0,2.0,washington,4.0
19,Clallam,49.0,1.0,3.0,31.0,461.0,119.0,315.0,27.0,1.0,washington,14.0
20,Columbia,9.0,0.0,0.0,8.0,72.0,22.0,46.0,4.0,1.0,washington,1.0
21,Ferry,3.0,0.0,1.0,0.0,26.0,4.0,19.0,3.0,0.0,washington,2.0
22,Grant,95.0,0.0,6.0,64.0,837.0,179.0,537.0,121.0,16.0,washington,25.0
23,Grays Harbor,47.0,1.0,1.0,27.0,250.0,96.0,134.0,20.0,2.0,washington,18.0
24,Island,56.0,1.0,1.0,40.0,373.0,124.0,230.0,19.0,2.0,washington,14.0
25,Jefferson,33.0,0.0,3.0,26.0,222.0,91.0,117.0,14.0,1.0,washington,4.0
26,Kittitas,8.0,1.0,0.0,4.0,142.0,43.0,88.0,11.0,0.0,washington,3.0
27,Klickitat,4.0,1.0,0.0,3.0,76.0,68.0,5.0,3.0,0.0,washington,0.0
28,Lewis,86.0,2.0,3.0,59.0,473.0,146.0,269.0,58.0,1.0,washington,22.0
29,Lincoln,10.0,0.0,0.0,7.0,87.0,26.0,51.0,10.0,5.0,washington,3.0
30,Mason,85.0,0.0,9.0,65.0,956.0,334.0,510.0,112.0,2.0,washington,11.0
31,Okanogan,38.0,1.0,0.0,25.0,158.0,43.0,106.0,9.0,2.0,washington,12.0
32,Pacific,21.0,0.0,2.0,19.0,137.0,59.0,71.0,7.0,1.0,washington,0.0
33,Pend Oreille,5.0,0.0,0.0,3.0,140.0,35.0,93.0,12.0,0.0,washington,2.0
34,San Juan,9.0,0.0,0.0,9.0,105.0,20.0,76.0,9.0,0.0,washington,0.0
35,Wahkiakum,4.0,0.0,0.0,2.0,32.0,9.0,20.0,3.0,0.0,washington,2.0
0,Lincoln,32.0,1.0,2.0,22.0,274.0,141.0,113.0,20.0,0.0,south_dakota,7.0
1,McCook,7.0,0.0,0.0,5.0,19.0,8.0,8.0,3.0,0.0,south_dakota,2.0
2,Meade,26.0,1.0,1.0,21.0,151.0,50.0,87.0,14.0,1.0,south_dakota,3.0
3,Minnehaha,54.0,0.0,1.0,36.0,319.0,96.0,172.0,51.0,0.0,south_dakota,17.0
4,Pennington,122.0,0.0,2.0,63.0,352.0,76.0,235.0,41.0,1.0,south_dakota,57.0
5,Turner,18.0,0.0,0.0,16.0,45.0,11.0,26.0,8.0,1.0,south_dakota,2.0
6,Union,7.0,0.0,0.0,6.0,46.0,11.0,33.0,2.0,2.0,south_dakota,1.0
7,Aurora,5.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,south_dakota,0.0
8,Beadle,4.0,0.0,0.0,4.0,7.0,3.0,3.0,1.0,0.0,south_dakota,0.0
9,Bennett,0.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,1.0,south_dakota,0.0
10,Bon Homme,2.0,0.0,0.0,2.0,13.0,2.0,3.0,8.0,0.0,south_dakota,0.0
11,Brookings,9.0,1.0,0.0,6.0,45.0,11.0,33.0,1.0,0.0,south_dakota,2.0
12,Brown,9.0,0.0,0.0,7.0,40.0,19.0,17.0,4.0,2.0,south_dakota,2.0
13,Brule,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,south_dakota,1.0
14,Butte,6.0,0.0,0.0,6.0,29.0,3.0,26.0,0.0,0.0,south_dakota,0.0
15,Charles Mix,11.0,0.0,0.0,8.0,19.0,8.0,11.0,0.0,0.0,south_dakota,3.0
16,Clark,1.0,0.0,0.0,1.0,5.0,0.0,3.0,2.0,0.0,south_dakota,0.0
17,Clay,7.0,0.0,0.0,6.0,50.0,6.0,32.0,12.0,1.0,south_dakota,1.0
18,Codington,9.0,0.0,0.0,9.0,16.0,1.0,12.0,3.0,1.0,south_dakota,0.0
19,Corson,1.0,0.0,0.0,1.0,26.0,10.0,8.0,8.0,1.0,south_dakota,0.0
20,Custer,8.0,0.0,0.0,6.0,135.0,54.0,74.0,7.0,1.0,south_dakota,2.0
21,Davison,3.0,0.0,0.0,3.0,14.0,8.0,6.0,0.0,1.0,south_dakota,0.0
22,Day,4.0,0.0,0.0,3.0,33.0,13.0,14.0,6.0,0.0,south_dakota,1.0
23,Deuel,1.0,0.0,0.0,1.0,16.0,4.0,10.0,2.0,0.0,south_dakota,0.0
24,Edmunds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,south_dakota,0.0
25,Faulk,0.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,south_dakota,0.0
26,Gregory,0.0,0.0,0.0,0.0,7.0,0.0,5.0,2.0,0.0,south_dakota,0.0
27,Hamlin,5.0,0.0,0.0,4.0,29.0,7.0,20.0,2.0,0.0,south_dakota,1.0
28,Hand,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,south_dakota,3.0
29,Hanson,1.0,0.0,0.0,1.0,10.0,5.0,1.0,4.0,0.0,south_dakota,0.0
30,Hughes,4.0,0.0,0.0,4.0,9.0,2.0,5.0,2.0,1.0,south_dakota,0.0
31,Hutchinson,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,south_dakota,0.0
32,Jerauld,1.0,0.0,0.0,1.0,9.0,3.0,5.0,1.0,0.0,south_dakota,0.0
33,Jones,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,south_dakota,0.0
34,Kingsbury,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,south_dakota,0.0
35,Lake,2.0,0.0,0.0,1.0,19.0,4.0,14.0,1.0,0.0,south_dakota,1.0
36,Lawrence,7.0,0.0,0.0,6.0,39.0,14.0,21.0,4.0,0.0,south_dakota,1.0
37,Lyman,2.0,0.0,0.0,2.0,11.0,7.0,3.0,1.0,0.0,south_dakota,0.0
38,Marshall,6.0,0.0,0.0,6.0,23.0,8.0,14.0,1.0,0.0,south_dakota,0.0
39,McPherson,3.0,0.0,0.0,3.0,18.0,4.0,14.0,0.0,0.0,south_dakota,0.0
40,Mellette,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0,south_dakota,0.0
41,Miner,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,south_dakota,0.0
42,Moody,3.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,south_dakota,0.0
43,Perkins,2.0,0.0,0.0,0.0,10.0,1.0,9.0,0.0,0.0,south_dakota,2.0
44,Potter,3.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,south_dakota,1.0
45,Roberts,11.0,0.0,0.0,10.0,7.0,0.0,5.0,2.0,0.0,south_dakota,1.0
46,Sanborn,3.0,0.0,0.0,3.0,7.0,1.0,6.0,0.0,0.0,south_dakota,0.0
47,Spink,13.0,0.0,0.0,13.0,84.0,26.0,49.0,9.0,0.0,south_dakota,0.0
48,Stanley,0.0,0.0,0.0,0.0,10.0,3.0,6.0,1.0,0.0,south_dakota,0.0
49,Sully,4.0,0.0,0.0,4.0,9.0,7.0,0.0,2.0,2.0,south_dakota,0.0
50,Tripp,2.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,south_dakota,1.0
51,Walworth,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,south_dakota,0.0
52,Yankton,7.0,1.0,0.0,4.0,53.0,10.0,27.0,16.0,0.0,south_dakota,2.0
